Date,Product,Category,Region,Salesperson,CustomerSegment,Quantity,SalesAmount,Profit,Target
2024-06-04,Laptop,Electronics,West,Karan,Consumer,8,840,235.08889700414522,896.6265954390236
2024-02-26,Printer,Accessories,South,Priya,Home Office,8,8424,1456.469835654832,8214.089730054235
2024-09-02,Laptop,Electronics,North,Meena,Consumer,5,4380,1230.1230640274146,3943.1120839183786
2023-10-13,Keyboard,Accessories,West,Sneha,Corporate,4,2372,438.6369967763,2334.3672376152144
2024-10-08,Keyboard,Accessories,West,Arun,Consumer,3,3918,982.5391996914852,3752.397078189307
2024-06-13,Laptop,Electronics,South,Arun,Corporate,3,912,94.2994164541279,921.7421913376018
2024-11-14,Tablet,Electronics,North,Priya,Consumer,8,5816,615.3891352761636,5967.115864402936
2024-04-09,Phone,Electronics,East,Rahul,Consumer,10,10580,2875.836815785991,10885.126705475415
2023-11-17,Printer,Accessories,West,Priya,Corporate,7,9324,2460.061715284616,8950.425708522514
2024-04-14,Monitor,Electronics,East,Rahul,Corporate,7,6153,696.4178009944205,6452.428891087803
2024-10-17,Laptop,Electronics,West,Priya,Consumer,2,670,153.6387533469742,720.4312138223017
2024-05-26,Monitor,Electronics,East,Priya,Corporate,7,9709,1242.8996063915638,10474.144015929229
2024-05-16,Headphones,Accessories,North,Karan,Home Office,6,3930,1174.1085867134348,3631.9245560872905
2023-08-10,Tablet,Electronics,West,Rahul,Corporate,7,8946,1356.0747081454324,8290.72514468698
2024-06-18,Phone,Electronics,West,Arun,Consumer,6,2556,406.3578941830218,2700.1101694511653
2024-04-05,Laptop,Electronics,South,Rahul,Home Office,5,6770,1999.259586606952,7369.246892491887
2024-09-26,Tablet,Electronics,East,Arun,Home Office,10,10120,1982.3054289210684,9164.40974800257
2024-01-15,Laptop,Electronics,East,Priya,Home Office,7,1757,280.01703425626584,1614.4473877307057
2023-02-26,Headphones,Accessories,East,Sneha,Corporate,4,2628,456.5895840439546,2417.529923675308
2024-08-30,Headphones,Accessories,West,Rahul,Corporate,8,7016,885.9880911316993,7259.001164974196
2023-02-21,Printer,Accessories,East,Sneha,Corporate,7,2751,600.3428862432654,2916.8454684225494
2023-12-13,Printer,Accessories,West,Meena,Corporate,9,9378,1160.4825869869046,9170.092695886437
2023-06-12,Printer,Accessories,West,Rahul,Corporate,1,523,146.934744896965,535.3046322244684
2024-04-13,Mouse,Accessories,East,Arun,Corporate,6,1278,340.0135834929542,1399.2827933726303
2024-05-03,Monitor,Electronics,West,Priya,Consumer,1,346,65.50932281998499,366.50078329926436
2023-09-09,Tablet,Electronics,South,Rahul,Consumer,5,6905,1339.6988635722998,7293.100123448737
2024-09-22,Keyboard,Accessories,South,Rahul,Corporate,1,394,53.651314271734165,429.6767191422645
2024-11-14,Headphones,Accessories,South,Karan,Home Office,9,11178,1190.0862627801569,10611.024324730168
2024-05-24,Monitor,Electronics,South,Sneha,Corporate,2,1598,265.9860930386784,1704.6838541785198
2024-10-27,Laptop,Electronics,South,Arun,Consumer,6,4656,1188.0729016793898,4996.402598342669
2024-07-07,Laptop,Electronics,East,Meena,Consumer,3,1719,387.1521259235707,1744.9997913682857
2024-05-19,Laptop,Electronics,East,Meena,Consumer,10,13970,3270.540024682635,15245.821732359109
2023-08-25,Laptop,Electronics,West,Arun,Home Office,8,3296,527.4767792509556,3025.741969719654
2024-11-25,Monitor,Electronics,West,Meena,Home Office,8,6976,761.0189038768507,6317.529501314849
2024-09-19,Printer,Accessories,North,Meena,Consumer,5,1235,223.13786331570745,1201.119626472838
2023-05-28,Tablet,Electronics,West,Sneha,Home Office,6,5064,1465.5623971861141,5362.255086504535
2023-02-22,Keyboard,Accessories,North,Rahul,Consumer,10,6550,1414.6317921342288,5917.040225740204
2024-12-20,Headphones,Accessories,South,Meena,Corporate,1,98,20.576735509199853,104.80323991820636
2023-09-08,Monitor,Electronics,North,Meena,Home Office,1,64,10.74141228249977,60.54517631450811
2023-03-04,Phone,Electronics,South,Sneha,Consumer,1,1328,281.3936365821182,1403.6553224161164
2023-07-03,Monitor,Electronics,West,Rahul,Consumer,9,6066,1581.0875312952076,6650.3209941888235
2024-08-20,Keyboard,Accessories,West,Priya,Home Office,4,1316,379.09720217817596,1369.8874180951168
2023-12-04,Tablet,Electronics,East,Sneha,Corporate,2,1850,460.0709149819213,2007.8881045999897
2023-05-29,Keyboard,Accessories,West,Karan,Home Office,7,4263,534.8232479789799,3963.6331805709056
2023-04-21,Tablet,Electronics,West,Priya,Consumer,4,2188,373.44488501926696,1992.3066624579526
2024-10-19,Monitor,Electronics,North,Karan,Corporate,1,1101,205.12892213584178,1074.405448649296
2024-02-05,Tablet,Electronics,North,Karan,Home Office,2,2050,433.36345745638744,1896.3014084478475
2023-02-05,Headphones,Accessories,North,Karan,Home Office,3,1656,398.5671566981753,1767.7869091351313
2023-11-04,Tablet,Electronics,South,Sneha,Home Office,2,1906,231.1551265094124,1971.428554185679
2023-04-02,Laptop,Electronics,North,Priya,Home Office,8,6528,851.9886249630597,6889.409029255943
2023-03-19,Tablet,Electronics,South,Priya,Corporate,5,7225,1167.21893160692,7586.4536356039
2023-09-29,Monitor,Electronics,North,Arun,Home Office,5,5810,1285.3363431517282,5598.973605611523
2024-12-03,Headphones,Accessories,South,Arun,Home Office,5,2605,756.52524280077,2550.2336930245588
2023-05-08,Headphones,Accessories,South,Sneha,Corporate,10,6940,1455.6300446886546,6847.301512467067
2023-05-11,Keyboard,Accessories,East,Arun,Consumer,3,345,67.02958762460251,369.9582709422325
2023-10-28,Monitor,Electronics,North,Meena,Corporate,8,3080,668.631353598586,2984.8554602694394
2024-02-21,Keyboard,Accessories,East,Meena,Home Office,1,488,113.82865964282419,465.24612072391074
2024-04-22,Keyboard,Accessories,South,Priya,Home Office,7,1561,337.3372497627126,1484.596136723062
2024-05-01,Phone,Electronics,South,Priya,Corporate,1,714,210.53641967895734,691.4911291095252
2024-04-06,Monitor,Electronics,West,Rahul,Home Office,7,3255,449.9338556330443,3359.0747096394525
2024-07-28,Tablet,Electronics,North,Sneha,Home Office,5,2175,270.30239678736103,2247.402892594155
2024-10-19,Laptop,Electronics,West,Sneha,Home Office,7,8771,1000.8031271709608,8404.104660778015
2023-04-05,Tablet,Electronics,South,Karan,Home Office,5,3875,856.4557012360883,4226.659264451232
2023-05-24,Tablet,Electronics,South,Arun,Home Office,9,9315,1239.550098169677,8776.277270605133
2023-04-29,Headphones,Accessories,North,Karan,Corporate,6,4818,648.3501548938791,5177.820352772935
2023-05-25,Keyboard,Accessories,West,Arun,Consumer,2,1878,316.80823153131456,1778.6149258993712
2023-09-25,Laptop,Electronics,North,Sneha,Corporate,6,3168,934.3953731505445,3073.7023706595037
2024-12-08,Tablet,Electronics,South,Priya,Corporate,8,2128,504.9096425056044,2069.8681707166593
2024-01-12,Monitor,Electronics,West,Priya,Corporate,6,4668,1089.4410275941023,4516.5121607248875
2023-09-29,Phone,Electronics,South,Rahul,Consumer,1,935,210.74404845990992,850.7788349607583
2024-06-21,Mouse,Accessories,South,Rahul,Consumer,3,3300,638.6959341296772,3585.7702493274915
2023-12-11,Laptop,Electronics,North,Sneha,Corporate,8,10784,2200.82949848638,11277.760081029275
2024-08-15,Headphones,Accessories,South,Sneha,Consumer,6,3906,685.1752466515868,3929.644067765362
2024-11-08,Printer,Accessories,West,Sneha,Consumer,4,200,21.196530903685662,205.45312423814147
2023-03-25,Tablet,Electronics,West,Rahul,Corporate,5,4380,1132.7467393354966,4750.776028787169
2023-06-02,Keyboard,Accessories,North,Rahul,Corporate,10,4060,460.97527168424944,4456.217369311084
2024-08-01,Keyboard,Accessories,South,Karan,Home Office,5,4735,497.04712184134564,5195.663211965794
2024-09-28,Tablet,Electronics,North,Rahul,Consumer,6,942,247.75797778230034,916.8754481862388
2023-04-25,Mouse,Accessories,West,Meena,Home Office,7,8708,2386.014128080344,8938.699466449654
2023-10-25,Headphones,Accessories,South,Arun,Home Office,3,3627,573.100509861422,3325.2961628273943
2023-08-25,Headphones,Accessories,West,Arun,Consumer,5,6240,1555.811961582521,6242.4771117501
2023-11-06,Headphones,Accessories,West,Rahul,Consumer,6,4092,514.9079107357346,4371.756558551647
2023-08-15,Monitor,Electronics,West,Meena,Consumer,4,5528,1166.7386685929216,5422.27489297814
2023-06-11,Laptop,Electronics,South,Arun,Corporate,2,1774,302.2961936995149,1625.7667169893523
2024-01-04,Mouse,Accessories,South,Arun,Consumer,4,3924,433.94696986121545,3533.7681188263728
2024-04-22,Printer,Accessories,South,Karan,Consumer,6,8082,2197.468291204302,8166.77489349105
2023-09-30,Mouse,Accessories,South,Priya,Home Office,5,4770,1400.8519039139032,4655.395928253809
2023-06-15,Laptop,Electronics,East,Priya,Corporate,9,11169,3090.3256523034865,11161.685982111754
2023-11-21,Tablet,Electronics,West,Sneha,Corporate,5,6605,909.9697434074972,6879.72249603198
2023-06-06,Headphones,Accessories,West,Rahul,Home Office,10,9050,1532.3071644368358,9875.456147000103
2024-08-29,Tablet,Electronics,South,Sneha,Consumer,3,1635,449.0367703375769,1740.7345772556796
2024-02-29,Printer,Accessories,West,Sneha,Corporate,6,1368,400.2601377944048,1304.8511559672968
2024-09-05,Printer,Accessories,West,Karan,Consumer,6,4200,1151.6120599845533,3811.628406203343
2024-07-08,Laptop,Electronics,West,Sneha,Corporate,8,10600,2621.6245613576934,10487.533033000058
2024-10-09,Keyboard,Accessories,North,Rahul,Corporate,3,3591,462.35572256605815,3732.0695155238054
2024-10-05,Laptop,Electronics,East,Sneha,Corporate,10,12740,2558.2901425948544,11935.866591464213
2023-04-12,Phone,Electronics,South,Priya,Consumer,9,4734,786.4813016996237,4919.098437793235
2023-05-01,Printer,Accessories,North,Priya,Corporate,9,7578,1375.8393813722832,7264.564651942287
2024-08-16,Tablet,Electronics,West,Sneha,Corporate,2,2810,820.9820248814882,2756.8958679277607
2024-06-01,Phone,Electronics,South,Arun,Consumer,8,8336,1456.375161324447,8481.024294820996
2023-04-28,Phone,Electronics,West,Priya,Home Office,4,640,134.87383854108663,699.2481469783495
2024-11-09,Monitor,Electronics,South,Sneha,Corporate,2,406,111.12419899157194,408.3831966473571
2024-12-14,Laptop,Electronics,North,Rahul,Corporate,9,873,171.2634599080137,823.8526773428191
2024-08-21,Keyboard,Accessories,South,Karan,Home Office,5,1030,195.39475906781425,978.316392816177
2023-08-12,Tablet,Electronics,West,Arun,Corporate,5,7195,948.0627460367172,6809.1198654353875
2024-02-08,Tablet,Electronics,East,Sneha,Consumer,7,7210,2143.9296638386304,7156.393810546193
2024-12-27,Phone,Electronics,West,Meena,Home Office,2,2364,550.044891849419,2513.418664190556
2023-06-20,Monitor,Electronics,West,Sneha,Home Office,9,1800,451.24561752357164,1930.0677739851328
2023-10-05,Phone,Electronics,North,Rahul,Corporate,8,11784,2169.6307353315437,11752.96789544447
2023-09-01,Printer,Accessories,West,Karan,Home Office,2,224,31.04679758994268,235.07396403199778
2024-02-18,Printer,Accessories,East,Sneha,Home Office,4,5944,1064.8636849540587,5568.815203018923
2023-04-25,Mouse,Accessories,West,Meena,Corporate,2,202,43.99595108923298,192.8509981114585
2024-06-02,Monitor,Electronics,South,Priya,Corporate,3,591,138.46303631506316,649.4185693853092
2023-02-22,Laptop,Electronics,South,Sneha,Home Office,2,2954,656.9222399110183,3065.955447135199
2024-09-07,Keyboard,Accessories,West,Rahul,Consumer,2,2408,397.0323148100976,2370.996377082715
2024-05-22,Monitor,Electronics,South,Rahul,Home Office,5,2170,416.1538171495667,2142.365417519327
2023-05-20,Phone,Electronics,West,Priya,Home Office,9,6561,993.3518579466968,6984.714099910602
2023-09-22,Mouse,Accessories,North,Meena,Home Office,9,7803,918.0202718420475,7085.957782001991
2023-07-21,Mouse,Accessories,West,Meena,Consumer,5,4740,650.4689705375326,4969.621640148715
2024-05-15,Mouse,Accessories,South,Priya,Consumer,7,2912,378.65663802031827,2817.6786890929798
2023-07-08,Headphones,Accessories,West,Arun,Home Office,7,6699,1943.14241716225,6609.125051301024
2023-01-18,Keyboard,Accessories,West,Arun,Consumer,10,6230,1194.3264733775914,5747.629731280854
2024-10-17,Mouse,Accessories,West,Karan,Corporate,7,6755,1039.3553618066812,6475.314227865092
2023-05-01,Tablet,Electronics,East,Sneha,Consumer,8,5448,768.0921407035414,5206.208008871736
2024-06-02,Tablet,Electronics,North,Meena,Corporate,2,2234,355.62948460992305,2264.0717628928905
2023-05-19,Printer,Accessories,East,Karan,Home Office,1,1087,292.9880173740814,1157.793904203419
2024-05-01,Tablet,Electronics,North,Karan,Consumer,7,3675,1027.7467296907091,3963.082437575531
2023-12-20,Tablet,Electronics,North,Sneha,Corporate,3,483,97.74939754903129,517.9072911818181
2023-10-26,Mouse,Accessories,North,Karan,Home Office,7,1176,171.03090764275274,1269.3386950497857
2024-06-03,Laptop,Electronics,West,Rahul,Consumer,8,7032,1870.095699716493,6753.564477112668
2024-06-15,Tablet,Electronics,East,Sneha,Consumer,9,2934,499.34075350399127,3022.4695324476347
2024-12-31,Monitor,Electronics,North,Karan,Home Office,3,2877,697.513011482568,2777.3988318537436
2024-06-03,Mouse,Accessories,East,Sneha,Corporate,10,5140,1448.966562059828,4748.632201882997
2024-03-03,Mouse,Accessories,North,Karan,Consumer,5,4990,889.3894572149154,5463.27137339875
2024-05-24,Headphones,Accessories,South,Sneha,Consumer,3,2877,851.6776990783153,2653.5184846223547
2023-04-26,Tablet,Electronics,North,Rahul,Consumer,9,12150,2332.6474121952497,11994.355239520764
2024-12-25,Keyboard,Accessories,East,Arun,Corporate,8,8400,1707.7515036272766,8578.71373796317
2023-09-19,Tablet,Electronics,South,Rahul,Consumer,2,2312,352.75083758893624,2532.0089049730504
2023-06-17,Tablet,Electronics,West,Arun,Consumer,10,7910,2211.44610308783,8216.653624494213
2024-01-26,Monitor,Electronics,West,Karan,Consumer,2,1274,295.9574087849117,1262.5447475572807
2024-06-19,Tablet,Electronics,East,Priya,Home Office,8,8296,1203.0165194448753,8957.20191122624
2024-10-19,Printer,Accessories,West,Rahul,Home Office,1,1394,339.10279453559855,1516.8954997609173
2024-02-17,Mouse,Accessories,East,Priya,Home Office,8,7232,1980.8105960495097,6653.715283279235
2024-02-17,Keyboard,Accessories,North,Arun,Consumer,7,3073,898.4903927781787,3194.545162824684
2024-07-22,Phone,Electronics,South,Sneha,Corporate,7,6727,1979.7039866346477,6833.863031282762
2024-12-23,Headphones,Accessories,North,Arun,Corporate,9,4347,1050.4247042052793,4628.2705027208385
2023-02-01,Printer,Accessories,South,Karan,Corporate,1,506,92.40833688186007,503.3545278271341
2024-05-16,Printer,Accessories,East,Meena,Consumer,10,12870,2380.1684223143766,11872.291709753057
2023-12-06,Printer,Accessories,South,Sneha,Home Office,2,2864,848.7821748318721,2634.5559815029087
2023-01-10,Tablet,Electronics,West,Sneha,Consumer,4,376,77.21167037220336,369.9634767199587
2024-03-15,Phone,Electronics,East,Sneha,Consumer,8,9360,1114.5036832949882,9615.46151810423
2024-09-08,Laptop,Electronics,East,Sneha,Home Office,6,8100,898.1325987018635,8184.938718958416
2023-07-26,Headphones,Accessories,South,Sneha,Consumer,1,990,175.02791091404865,1011.6252157048474
2023-02-09,Tablet,Electronics,West,Arun,Corporate,2,754,121.33473396562388,698.5953352880199
2023-04-19,Monitor,Electronics,South,Karan,Home Office,4,3944,750.3717997497398,3897.641240250237
2023-04-21,Mouse,Accessories,West,Meena,Home Office,4,5028,1060.4671444974365,5454.294468371077
2024-03-05,Laptop,Electronics,South,Karan,Consumer,6,2022,395.444810441894,2149.2115862057813
2024-03-07,Keyboard,Accessories,North,Rahul,Home Office,10,13240,3137.556869411372,14241.76932838259
2023-06-15,Phone,Electronics,North,Priya,Corporate,1,427,127.94263560536338,460.577324316092
2023-01-05,Tablet,Electronics,South,Priya,Home Office,3,966,182.5131138712238,908.2392839158059
2024-12-11,Laptop,Electronics,West,Rahul,Home Office,1,158,45.031590635579185,161.3572267648859
2024-10-19,Tablet,Electronics,West,Meena,Corporate,9,10377,3041.7094144175476,10402.779416143085
2023-05-29,Phone,Electronics,South,Rahul,Home Office,1,1374,275.49590266117264,1415.2741814555454
2023-11-12,Keyboard,Accessories,North,Arun,Corporate,7,4032,843.3251644118487,3689.047301780275
2024-07-26,Keyboard,Accessories,North,Priya,Consumer,2,2638,471.3280595566283,2811.9718365678636
2023-07-25,Monitor,Electronics,North,Meena,Corporate,3,360,61.44266970295549,364.6815338530071
2023-04-06,Printer,Accessories,South,Priya,Home Office,3,3255,720.6920437251051,3321.332810490624
2023-10-30,Printer,Accessories,West,Karan,Home Office,10,740,145.426712799986,721.3255539396131
2024-07-03,Mouse,Accessories,South,Karan,Consumer,5,4465,625.328528648402,4635.093649993986
2024-10-30,Headphones,Accessories,North,Rahul,Corporate,10,1410,323.2884152227544,1312.321170332161
2024-08-15,Mouse,Accessories,East,Karan,Corporate,8,2552,733.320068572689,2627.8167648407475
2024-04-30,Printer,Accessories,East,Meena,Corporate,7,4795,1422.1720776168625,4498.0133405086435
2023-02-21,Printer,Accessories,East,Sneha,Consumer,1,249,25.91035596722745,271.50211433461857
2023-05-09,Phone,Electronics,East,Priya,Corporate,6,318,87.10327077868241,289.55342415318955
2024-10-22,Tablet,Electronics,South,Karan,Home Office,2,2024,401.7257379233768,1883.0382881172097
2024-02-24,Keyboard,Accessories,West,Priya,Home Office,7,7210,1695.1640208620886,6576.166891492481
2024-03-06,Mouse,Accessories,North,Meena,Consumer,6,4398,891.2825597044467,4068.9227304277924
2024-11-09,Printer,Accessories,South,Karan,Corporate,7,7791,2247.57205435523,7582.3404615260415
2023-06-11,Keyboard,Accessories,West,Arun,Corporate,7,9233,1527.8502677161514,8800.9729587856
2024-10-03,Headphones,Accessories,West,Arun,Corporate,9,7146,1775.7723340273633,7022.082564012503
2024-04-08,Laptop,Electronics,West,Arun,Home Office,8,10520,2414.010631020454,11465.5811570313
2024-05-12,Keyboard,Accessories,West,Arun,Corporate,6,2070,315.8746638572265,1880.8072651024002
2024-08-24,Phone,Electronics,North,Rahul,Home Office,4,988,166.7735166479217,931.3067734461252
2024-06-22,Headphones,Accessories,South,Arun,Consumer,1,839,161.93090710944873,852.2481918018885
2024-03-06,Mouse,Accessories,East,Sneha,Home Office,2,2268,493.6255184329162,2484.8958633046122
2023-11-21,Headphones,Accessories,South,Meena,Consumer,10,5870,608.874312207807,5522.525866219262
2023-11-30,Printer,Accessories,East,Priya,Consumer,2,1158,125.37655521640285,1225.6891406003763
2023-09-21,Tablet,Electronics,West,Rahul,Corporate,7,4977,1104.1976132173945,4533.368680647736
2024-07-05,Monitor,Electronics,East,Arun,Corporate,8,11136,2351.852702779624,10645.691509861634
2024-09-29,Phone,Electronics,South,Meena,Consumer,4,3076,575.735665214279,3252.417123084558
2024-10-06,Keyboard,Accessories,West,Sneha,Consumer,5,4120,939.9680190024491,3964.985596877753
2024-01-31,Printer,Accessories,East,Sneha,Corporate,7,5964,630.8139306550324,5775.062038614501
2024-07-28,Tablet,Electronics,South,Rahul,Corporate,2,2134,303.9822314756903,2220.604076665534
2023-03-05,Keyboard,Accessories,North,Arun,Consumer,4,2812,311.52176980555197,2724.5779250790297
2023-03-16,Keyboard,Accessories,East,Meena,Corporate,10,11860,2937.231487510229,12981.075654150582
2024-02-24,Headphones,Accessories,South,Priya,Home Office,5,5530,1655.8083406849544,5955.753362316681
2023-08-14,Laptop,Electronics,South,Priya,Home Office,4,480,88.73561142974654,489.45657246386247
2023-12-12,Laptop,Electronics,West,Arun,Consumer,2,472,126.97730217111015,503.4725316578227
2023-06-08,Keyboard,Accessories,East,Karan,Home Office,5,3440,791.9099412572872,3548.3022513368655
2024-08-30,Monitor,Electronics,East,Arun,Consumer,7,10451,2655.1668612503627,11223.911684591914
2024-05-27,Laptop,Electronics,East,Rahul,Home Office,9,2970,349.1275150143047,3264.3767867644724
2024-01-13,Laptop,Electronics,North,Sneha,Corporate,7,9583,1882.354892968364,8663.70714126486
2023-09-29,Monitor,Electronics,East,Rahul,Corporate,4,676,173.18133180691552,693.7940676474165
2024-03-25,Phone,Electronics,South,Karan,Consumer,5,4035,450.353022162976,4303.2232126446515
2024-03-11,Monitor,Electronics,South,Priya,Home Office,7,3374,964.3433114364381,3068.0168583201707
2023-03-29,Tablet,Electronics,South,Arun,Home Office,8,4064,897.7952813160127,3688.02990281198
2024-01-16,Laptop,Electronics,West,Meena,Home Office,7,6251,841.5937801563903,6634.848157013657
2023-05-08,Headphones,Accessories,East,Karan,Corporate,10,4310,744.7193044674179,4438.8290485089365
2024-09-16,Phone,Electronics,South,Arun,Consumer,5,3560,381.91519950973014,3838.2286919685225
2024-12-06,Monitor,Electronics,East,Priya,Corporate,8,9336,1533.8913350408172,8806.125681902522
2023-07-18,Phone,Electronics,West,Meena,Corporate,10,7120,1086.0227489804413,7438.221079752534
2024-04-07,Phone,Electronics,North,Priya,Consumer,8,5456,1382.2763701688214,5395.925803473417
2024-01-26,Keyboard,Accessories,East,Priya,Corporate,10,2620,731.0233623663604,2601.8697545121286
2024-10-28,Laptop,Electronics,West,Rahul,Consumer,6,5286,1112.3738206959324,5284.763076124562
2024-03-24,Phone,Electronics,North,Sneha,Home Office,7,9912,2146.303943870442,9639.467642716068
2023-05-19,Laptop,Electronics,East,Meena,Consumer,8,4104,1219.3621665262633,3848.8534604717584
2023-12-01,Keyboard,Accessories,North,Rahul,Consumer,3,4002,945.456328785136,4209.039032944184
2024-08-05,Phone,Electronics,East,Arun,Consumer,7,4032,710.4843345727395,3835.1209395706346
2023-08-10,Monitor,Electronics,South,Arun,Corporate,1,778,188.01427347840647,710.177416855654
2023-02-08,Phone,Electronics,North,Meena,Home Office,7,2954,482.4335506762866,2962.784893132635
2023-05-02,Tablet,Electronics,North,Priya,Corporate,5,4520,929.6951346983665,4278.6085281255255
